index,gw_level,discharge,TMAX (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),moving_average
2010-01-01,9.82,8.901094121608562,31.0,0.05,0.2,2.0,
2010-01-02,9.95,8.821732380934442,39.0,0.0,0.0,1.0,
2010-01-03,10.14,8.699514748210191,25.0,0.0,0.0,0.0,
2010-01-04,10.4,8.594154232552366,23.0,0.0,0.0,0.0,
2010-01-05,10.62,8.34283980427146,27.0,0.0,0.0,0.0,
2010-01-06,10.83,8.308938252595778,29.0,0.04,0.0,0.0,
2010-01-07,11.07,8.216088098632316,32.0,0.0,0.0,0.0,
2010-01-08,11.16,8.1886891244442,32.0,0.05,1.0,1.0,
2010-01-09,11.48,8.039157390473237,26.0,0.0,0.0,1.0,
2010-01-10,11.69,7.8632667240095735,30.0,0.0,0.0,0.0,
2010-01-11,11.74,7.90100705199242,27.0,0.0,0.0,0.0,
2010-01-12,11.88,7.955074273262696,31.0,0.0,0.0,0.0,
2010-01-13,12.04,7.937374696163295,32.0,0.0,0.0,0.0,
2010-01-14,12.16,7.90100705199242,35.0,0.0,0.0,0.0,
2010-01-15,12.26,7.855544677915663,48.0,0.0,0.0,0.0,
2010-01-16,12.32,7.787382026484701,45.0,0.0,0.0,0.0,
2010-01-17,12.07,7.904703913873747,54.0,0.0,0.0,0.0,
2010-01-18,11.13,8.470101583882387,37.0,0.61,0.0,0.0,
2010-01-19,10.51,8.968268810776454,48.0,0.0,0.0,0.0,
2010-01-20,10.36,8.917310693197807,41.0,0.0,0.0,0.0,
2010-01-21,10.4,8.824677891164198,40.0,0.0,0.0,0.0,
2010-01-22,10.35,8.712759974960212,40.0,0.0,0.0,0.0,
2010-01-23,10.59,8.646465527120377,40.0,0.0,0.0,0.0,
2010-01-24,10.56,8.594154232552366,43.0,0.0,0.0,0.0,
2010-01-25,9.21,9.862665558015873,59.0,1.51,0.0,0.0,
2010-01-26,8.72,10.732039370102276,55.0,0.51,0.0,0.0,
2010-01-27,9.14,10.357742824813725,38.0,0.0,0.0,0.0,
2010-01-28,9.35,9.980448593672257,37.0,0.0,0.0,0.0,
2010-01-29,9.75,9.588776807696428,39.0,0.0,0.0,0.0,
2010-01-30,9.95,9.186047679407139,23.0,0.0,0.0,0.0,8.668634270559286
2010-01-31,10.22,8.938531648680692,20.0,0.0,0.0,0.0,8.669882188128357
2010-02-01,10.57,8.850804195756417,32.0,0.0,0.0,0.0,8.670851248622423
2010-02-02,10.75,8.768729817231666,34.0,0.0,0.0,0.0,8.673158417589805
2010-02-03,10.92,8.701180027529253,34.0,0.12,1.5,2.0,8.676725944089036
2010-02-04,11.22,8.648221453822641,38.0,0.0,0.0,0.0,8.686905332407408
2010-02-05,11.24,8.59044365315583,40.0,0.0,0.0,0.0,8.696288845759408
2010-02-06,11.14,8.556413904569519,35.0,0.56,10.0,10.0,8.707633039290648
2010-02-07,11.41,8.45531778769815,27.0,0.12,1.0,8.0,8.716520661399114
2010-02-08,11.57,8.34283980427146,29.0,0.0,0.0,7.0,8.726643408525721
2010-02-09,11.62,8.240121298076472,32.0,0.0,0.0,8.0,8.739205227661284
2010-02-10,11.39,8.146129510025405,30.0,0.25,1.0,9.0,8.747375976262385
2010-02-11,11.7,8.160518247477505,28.0,0.09,2.0,10.0,8.754224108736212
