index,gw_level,discharge,TMAX (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),moving_average
2010-01-01,15.89,3.708682081410116,36.0,0.08,0.0,1.0,
2010-01-02,15.81,3.58351893845611,40.0,0.0,0.0,0.0,
2010-01-03,15.74,3.4339872044851463,26.0,0.0,0.0,0.0,
2010-01-04,15.73,3.3945083935113587,23.0,0.0,0.0,0.0,
2010-01-05,15.71,3.3178157727231046,27.0,0.0,0.0,0.0,
2010-01-06,15.72,3.250374491927572,30.0,0.0,0.0,0.0,
2010-01-07,15.75,3.1822118404966093,32.0,0.0,0.0,0.0,
2010-01-08,15.72,3.1441522786722644,33.0,0.07,1.2,1.0,
2010-01-09,15.84,3.0726933146901194,26.0,0.0,0.0,0.0,
2010-01-10,15.9,3.044522437723423,29.0,0.0,0.0,0.0,
2010-01-11,15.87,2.995732273553991,27.0,0.0,0.0,0.0,
2010-01-12,15.91,2.9391619220655967,34.0,0.0,0.0,0.0,
2010-01-13,15.97,2.89591193827178,31.0,0.0,0.0,0.0,
2010-01-14,16.02,2.8678989020441064,38.0,0.0,0.0,0.0,
2010-01-15,16.07,2.8678989020441064,49.0,0.0,0.0,0.0,
2010-01-16,16.13,2.91235066461494,50.0,0.0,0.0,0.0,
2010-01-17,16.03,3.591817741270805,52.0,0.0,0.0,0.0,
2010-01-18,15.85,3.5751506887855933,40.0,0.67,0.0,0.0,
2010-01-19,15.72,3.295836866004329,50.0,0.0,0.0,0.0,
2010-01-20,15.67,3.2268439945173775,48.0,0.0,0.0,0.0,
2010-01-21,15.64,3.1570004211501135,40.0,0.0,0.0,0.0,
2010-01-22,15.53,3.173878458937465,40.0,0.0,0.0,0.0,
2010-01-23,15.58,3.122364924487357,40.0,0.23,0.0,0.0,
2010-01-24,15.45,3.2308043957334744,43.0,0.0,0.0,0.0,
2010-01-25,14.69,5.645446897643238,58.0,2.06,0.0,0.0,
2010-01-26,14.39,5.087596335232384,58.0,0.76,0.0,0.0,
2010-01-27,14.26,4.61512051684126,38.0,0.0,0.0,0.0,
2010-01-28,14.0,4.360547602996758,38.0,0.0,0.0,0.0,
2010-01-29,13.92,4.157319361383489,44.0,0.0,0.0,0.0,
2010-01-30,13.72,4.04305126783455,21.0,0.0,0.0,0.0,3.4964733609836176
2010-01-31,13.65,3.9435216724875173,16.0,0.0,0.0,0.0,3.5043013473528646
2010-02-01,13.69,3.8501476017100584,33.0,0.0,0.0,0.0,3.51318896946133
2010-02-02,13.65,3.7864597824528,35.0,0.0,0.0,0.0,3.5249380553935845
2010-02-03,13.66,3.7400477406883357,32.0,0.17,3.2,3.0,3.5364560336328172
2010-02-04,13.8,3.6428355156125294,37.0,0.0,0.0,0.0,3.5472900250624644
2010-02-05,13.76,3.591817741270805,39.0,0.0,0.0,0.0,3.5586714667072394
2010-02-06,13.68,3.66612246699132,34.0,2.24,21.4,21.0,3.5748018209237293
2010-02-07,13.89,3.6109179126442243,29.0,0.0,0.0,20.0,3.5903606753894612
2010-02-08,14.02,3.484312288372662,32.0,0.0,0.0,15.0,3.6040813078455463
2010-02-09,14.06,3.4468078929142076,34.0,0.0,0.0,13.0,3.617490823018572
2010-02-10,13.94,3.5115454388310208,32.0,0.72,11.5,25.0,3.6346845951944733
2010-02-11,14.21,3.456316680883235,27.0,0.21,9.6,31.0,3.6519230871550614
2010-02-12,14.34,3.349904087274605,35.0,0.0,0.0,23.0,3.667056158788489
2010-02-13,14.37,3.3250360206965914,37.0,0.0,0.0,19.0,3.682294062743572
2010-02-14,14.49,3.288401887516811,29.0,0.0,0.0,17.0,3.696310828925995
2010-02-15,14.6,3.242592351485517,35.0,0.0,0.0,10.0,3.707318885155014
2010-02-16,14.66,3.2228678461377385,32.0,0.11,1.6,10.0,3.6950205553172455
2010-02-17,14.78,3.1945831322991562,33.0,0.0,0.0,9.0,3.682334970101031
2010-02-18,14.91,3.190476350346503,35.0,0.0,0.0,8.0,3.6788229529124368
2010-02-19,15.09,3.173878458937465,41.0,0.0,0.0,5.0,3.677057435059773
2010-02-20,15.21,3.1484533605716547,42.0,0.0,0.0,5.0,3.676772533040491
2010-02-21,15.28,3.139832617527748,41.0,0.0,0.0,5.0,3.675637671660167
2010-02-22,15.3,3.1612467120315646,48.0,0.0,0.0,4.0,3.676933731244974
2010-02-23,15.35,3.1612467120315646,38.0,0.11,0.0,4.0,3.674615141788244
2010-02-24,15.42,3.169685580677429,38.0,0.0,0.0,4.0,3.59208976455605
2010-02-25,15.39,3.1654750481410856,41.0,0.0,0.0,4.0,3.5280190549863404
2010-02-26,15.41,3.1441522786722644,36.0,0.04,0.6,3.0,3.478986780380707
2010-02-27,15.53,3.109060958860994,33.0,0.07,0.3,3.0,3.4372705589095154
2010-02-28,15.62,3.100092288878234,39.0,0.0,0.0,3.0,3.402029656492673
2010-03-01,15.75,3.100092288878234,42.0,0.0,0.0,1.0,3.3705976905274624
2010-03-02,15.77,3.109060958860994,42.0,0.0,0.0,1.0,3.342782333406578
2010-03-03,15.71,3.1441522786722644,40.0,0.06,0.0,0.0,3.319249155971985
2010-03-04,15.77,3.139832617527748,39.0,0.0,0.0,0.0,3.29769491714115
2010-03-05,15.84,3.122364924487357,41.0,0.0,0.0,0.0,3.2771054899344505
2010-03-06,15.84,3.1484533605716547,46.0,0.0,0.0,0.0,3.260626084766422
2010-03-07,15.74,3.250374491927572,50.0,0.0,0.0,0.0,3.249244643121647
2010-03-08,15.56,3.414442608412176,54.0,0.0,0.0,0.0,3.2408553145023427
2010-03-09,15.34,3.5751506887855933,57.0,0.0,0.0,0.0,3.239663073707055
2010-03-10,14.98,3.703768066607687,63.0,0.0,0.0,0.0,3.246978266314889
2010-03-11,14.62,3.8918202981106265,62.0,0.0,0.0,0.0,3.2618120131547697
2010-03-12,14.15,4.672828834461906,66.0,0.28,0.0,0.0,3.300521459675799
