index,gw_level,discharge,TMAX (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),moving_average
2010-01-01,99.31,5.918893854273146,38.0,0.0,0.0,1.0,
2010-01-02,99.51,5.7899601708972535,28.0,0.0,0.0,1.0,
2010-01-03,99.7,5.598421958998375,24.0,0.0,0.0,1.0,
2010-01-04,99.93,5.58724865840025,29.0,0.0,0.0,1.0,
2010-01-05,100.12,5.517452896464707,30.0,0.0,0.0,1.0,
2010-01-06,100.31,5.4510384535657,36.0,0.01,0.3,1.0,
2010-01-07,100.51,5.375278407684165,33.0,0.0,0.0,1.0,
2010-01-08,100.61,5.298317366548036,29.0,0.08,3.3,3.0,
2010-01-09,100.84,5.214935757608986,27.0,0.0,0.0,3.0,
2010-01-10,100.98,5.0106352940962555,27.0,0.0,0.0,2.0,
2010-01-11,101.03,4.997212273764115,31.0,0.03,0.6,2.0,
2010-01-12,101.15,4.976733742420574,32.0,0.0,0.0,2.0,
2010-01-13,101.26,4.941642422609304,34.0,0.0,0.0,1.0,
2010-01-14,101.36,4.90527477843843,40.0,0.0,0.0,1.0,
2010-01-15,101.45,4.882801922586371,43.0,0.0,0.0,0.0,
2010-01-16,101.54,4.882801922586371,50.0,0.0,0.0,0.0,
2010-01-17,101.53,4.983606621708336,38.0,0.75,0.0,0.0,
2010-01-18,101.36,5.771441123130016,50.0,0.04,0.0,0.0,
2010-01-19,100.89,5.739792912179234,41.0,0.0,0.0,0.0,
2010-01-20,100.58,5.476463551931511,39.0,0.0,0.0,0.0,
2010-01-21,100.5,5.342334251964811,39.0,0.0,0.0,0.0,
2010-01-22,100.4,5.298317366548036,41.0,0.0,0.0,0.0,
2010-01-23,100.48,5.187385805840755,42.0,0.0,0.0,0.0,
2010-01-24,100.45,5.267858159063328,53.0,0.75,0.0,0.0,
2010-01-25,99.13,8.824677891164198,60.0,2.9,0.0,0.0,
2010-01-26,98.3,7.9157131993821155,39.0,0.0,0.0,0.0,
2010-01-27,98.47,7.1853870155804165,36.0,0.0,0.0,0.0,
2010-01-28,98.6,6.796823718274855,40.0,0.0,0.2,0.0,
