"BIGLERVILLE, PA US (USC00360656)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2/1/1972,,28,11,0,0,1
2/2/1972,,37,18,0.06,1,2
2/3/1972,,33,27,0.18,0,2
2/4/1972,,38,20,1.21,0,1
2/5/1972,,25,8,0,0,1
2/6/1972,,24,11,0,0,1
2/7/1972,,36,18,0.12,1,2
2/8/1972,,24,2,0,0,1
2/9/1972,,23,3,0,0,1
2/10/1972,,26,9,0,0,1
2/11/1972,,29,12,0,0,1
2/12/1972,,35,19,0,0,1
2/13/1972,,43,23,0.73,0,0
2/14/1972,,45,35,0.9,0,0
2/15/1972,,42,29,0,0,0
2/16/1972,,53,32,0,0,0
2/17/1972,,40,25,0,0,0
2/18/1972,,30,26,0.13,1.2,2
2/19/1972,,33,28,,0,1
2/20/1972,,32,17,,,
2/21/1972,,25,8,0,0,12
2/22/1972,,44,16,0,0,12
2/23/1972,,31,8,0,0,11
2/24/1972,,27,10,0.21,1.5,13
2/25/1972,,36,24,0.02,0,13
2/26/1972,,44,30,0.5,0,8
2/27/1972,,40,18,0,0,6
2/28/1972,,39,26,0,0,4
2/29/1972,,52,36,0,0,2
3/1/1972,,67,45,0,0,0
3/2/1972,,72,47,0,0,0
3/3/1972,,70,31,0.49,0,0
3/4/1972,,36,15,0.02,0,0
3/5/1972,,34,17,0,0,0
3/6/1972,,37,19,0,0,0
3/7/1972,,34,11,0,0,0
3/8/1972,,60,33,0,0,0
3/9/1972,,43,9,0,0,0
3/10/1972,,32,11,0,0,0
3/11/1972,,35,17,0,0,0
3/12/1972,,40,23,0,0,0
3/13/1972,,62,36,0,0,0
3/14/1972,,46,32,0.34,0,0
3/15/1972,,35,31,0.42,0,0
3/16/1972,,43,29,0.16,0,0
3/17/1972,,50,33,0.42,0,0
3/18/1972,,48,38,0,0,0
3/19/1972,,51,30,0,0,0
3/20/1972,,48,27,0,0,0
3/21/1972,,44,32,0,0,0
3/22/1972,,55,37,0.46,0,0
3/23/1972,,56,33,0.33,0,0
3/24/1972,,36,26,0,0,0
3/25/1972,,36,26,0,0,0
3/26/1972,,41,25,0,0,0
3/27/1972,,44,28,0,0,0
3/28/1972,,53,25,0,0,0
3/29/1972,,48,25,0,0,0
3/30/1972,,51,32,0.01,0,0
3/31/1972,,50,37,0,0,0
4/1/1972,,50,31,0,0,0
4/2/1972,,58,32,0.2,0,0
4/3/1972,,46,29,0,0,0
4/4/1972,,49,36,0,0,0
4/5/1972,,48,22,0.01,0,0
4/6/1972,,58,29,0,0,0
4/7/1972,,69,32,0,0,0
4/8/1972,,34,19,0.3,1,1
4/9/1972,,37,22,0,0,0
4/10/1972,,48,28,0,0,0
4/11/1972,,60,31,0.05,0,0
4/12/1972,,68,39,0,0,0
4/13/1972,,62,41,0.74,0,0
4/14/1972,,68,43,0.49,0,0
4/15/1972,,66,44,0.39,0,0
4/16/1972,,53,44,0.47,0,0
4/17/1972,,56,51,0.56,0,0
4/18/1972,,70,45,0,0,0
4/19/1972,,73,46,0,0,0
4/20/1972,,83,59,0,0,0
4/21/1972,,68,35,0.03,0,0
4/22/1972,,59,38,0.41,0,0
4/23/1972,,46,39,0.4,0,0
4/24/1972,,68,45,0.38,0,0
4/25/1972,,54,42,0,0,0
4/26/1972,,52,28,0,0,0
4/27/1972,,56,37,0,0,0
4/28/1972,,57,33,0,0,0
4/29/1972,,61,40,0,0,0
4/30/1972,,69,48,0,0,0
5/1/1972,,65,54,0.02,0,0
5/2/1972,,77,55,0,0,0
5/3/1972,,67,57,0.43,0,0
5/4/1972,,66,52,0.83,0,0
5/5/1972,,63,45,0.18,0,0
5/6/1972,,63,42,0,0,0
5/7/1972,,72,51,0,0,0
5/8/1972,,81,56,0,0,0
5/9/1972,,67,47,0.29,0,0
5/10/1972,,50,47,0.75,0,0
5/11/1972,,63,38,0,0,0
5/12/1972,,68,43,0,0,0
5/13/1972,,73,45,0,0,0
5/14/1972,,74,54,0.21,0,0
5/15/1972,,64,54,0.2,0,0
5/16/1972,,71,49,0.19,0,0
5/17/1972,,72,50,0.02,0,0
5/18/1972,,70,53,0.06,0,0
5/19/1972,,75,57,0,0,0
5/20/1972,,75,54,0.56,0,0
5/21/1972,,63,54,0.08,0,0
5/22/1972,,75,58,0,0,0
5/23/1972,,76,54,0,0,0
5/24/1972,,77,50,0,0,0
5/25/1972,,83,56,0,0,0
5/26/1972,,71,41,0,0,0
5/27/1972,,66,42,0,0,0
5/28/1972,,70,43,0,0,0
5/29/1972,,75,48,0,0,0
5/30/1972,,77,55,0,0,0
5/31/1972,,80,59,0.61,0,0
6/1/1972,,74,48,0.1,0,0
6/2/1972,,62,45,0,0,0
6/3/1972,,75,51,0.12,0,0
6/4/1972,,82,58,0,0,0
6/5/1972,,83,57,0.02,0,0
6/6/1972,,79,55,0,0,0
6/7/1972,,67,57,0,0,0
6/8/1972,,76,52,0,0,0
6/9/1972,,81,59,0,0,0
6/10/1972,,80,58,0.03,0,0
6/11/1972,,62,40,0,0,0
6/12/1972,,67,44,0,0,0
6/13/1972,,77,53,0.1,0,0
6/14/1972,,69,57,0.67,0,0
6/15/1972,,78,64,0,0,0
6/16/1972,,82,65,0.03,0,0
6/17/1972,,72,62,0.18,0,0
6/18/1972,,75,64,0.13,0,0
6/19/1972,,74,65,0.48,0,0
6/20/1972,,82,66,0,0,0
6/21/1972,,77,67,0.63,0,0
6/22/1972,,71,59,4.88,0,0
6/23/1972,,59,46,3.51,0,0
6/24/1972,,56,47,0.17,0,0
6/25/1972,,66,52,0.14,0,0
6/26/1972,,66,54,0,0,0
6/27/1972,,74,54,0,0,0
6/28/1972,,79,59,0,0,0
6/29/1972,,80,63,0.06,0,0
6/30/1972,,67,60,0.59,0,0
7/1/1972,,76,63,0,0,0
7/2/1972,,84,63,0,0,0
7/3/1972,,85,67,0,0,0
7/4/1972,,82,62,1,0,0
7/5/1972,,76,54,0.53,0,0
7/6/1972,,63,54,0.17,0,0
7/7/1972,,69,53,0,0,0
7/8/1972,,75,53,0.01,0,0
7/9/1972,,74,55,0,0,0
7/10/1972,,79,61,0,0,0
7/11/1972,,82,65,0.13,0,0
7/12/1972,,86,63,0,0,0
7/13/1972,,81,66,0,0,0
7/14/1972,,87,65,0.02,0,0
7/15/1972,,88,69,0,0,0
7/16/1972,,89,69,0.23,0,0
7/17/1972,,85,67,0.04,0,0
7/18/1972,,85,67,1.28,0,0
7/19/1972,,87,68,0,0,0
7/20/1972,,91,72,0,0,0
7/21/1972,,93,73,0,0,0
7/22/1972,,92,72,0,0,0
7/23/1972,,92,74,0,0,0
7/24/1972,,92,74,0,0,0
7/25/1972,,89,73,0,0,0
7/26/1972,,86,61,0,0,0
7/27/1972,,80,63,0,0,0
7/28/1972,,69,62,0,0,0
7/29/1972,,77,58,0,0,0
7/30/1972,,76,59,0,0,0
7/31/1972,,72,62,0.01,0,0
8/1/1972,,70,60,0.01,0,0
8/2/1972,,85,65,0,0,0
8/3/1972,,84,65,0.17,0,0
8/4/1972,,84,66,0.11,0,0
8/5/1972,,75,55,0.03,0,0
8/6/1972,,78,53,0,0,0
8/7/1972,,79,59,0.24,0,0
8/8/1972,,80,61,0.23,0,0
8/9/1972,,78,59,0,0,0
8/10/1972,,82,57,0,0,0
8/11/1972,,73,47,0,0,0
8/12/1972,,76,56,0,0,0
8/13/1972,,78,59,0.5,0,0
8/14/1972,,82,61,0,0,0
8/15/1972,,85,65,0,0,0
8/16/1972,,77,51,0,0,0
8/17/1972,,74,56,0.06,0,0
8/18/1972,,63,58,0.24,0,0
8/19/1972,,84,62,0,0,0
8/20/1972,,81,63,0,0,0
8/21/1972,,82,53,0,0,0
8/22/1972,,82,56,0,0,0
8/23/1972,,84,59,0,0,0
8/24/1972,,87,64,0,0,0
8/25/1972,,90,66,0,0,0
8/26/1972,,91,68,0,0,0
8/27/1972,,88,68,0.22,0,0
8/28/1972,,86,63,0.31,0,0
8/29/1972,,78,61,0,0,0
8/30/1972,,84,63,0,0,0
8/31/1972,,82,58,0,0,0
9/1/1972,,84,58,0,0,0
9/2/1972,,79,60,0,0,0
9/3/1972,,78,60,0,0,0
9/4/1972,,81,61,0,0,0
9/5/1972,,75,52,0,0,0
9/6/1972,,74,51,0,0,0
9/7/1972,,80,53,0,0,0
9/8/1972,,82,53,0,0,0
9/9/1972,,84,58,0,0,0
9/10/1972,,78,51,0,0,0
9/11/1972,,73,46,0,0,0
9/12/1972,,75,50,0,0,0
9/13/1972,,79,63,0.1,0,0
